id,name,description,era,categories,tags,visual_elements,color_palette,mood_keywords,related_aesthetics,media_examples,reference example images,origin,category
230,Dark Aero,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Aero aesthetic.",1920s,subculture,"natural,nostalgic,vibrant","organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,black,deep red,pearl white,forest green","wistful,sentimental,energetic,nostalgic,vibrant",,,,,
231,Dark Culture,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Culture aesthetic.",1970s,literary,"atmospheric,natural,minimalist,edgy","organic forms,plant life,natural textures,earth tones,clean lines,simple forms,negative space,geometric shapes","sunset orange,forest green,earth brown,sky blue","serene,evocative,clean,rebellious,minimalist",,,,,
232,Dark Fantasy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Fantasy aesthetic.",1960s,film,"modern,edgy,cute","cinematography,set designs,costume design,lighting,visual effects",,"rebellious,endearing,charming,cute,bold",,,,,
233,Dark Gatsby,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Gatsby aesthetic.",1930s,film,"digital,retro","cinematography,set designs,costume design,lighting,visual effects",,,,,,,
234,Dark Naturalism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Naturalism aesthetic.",1930s,historical,"natural,fantasy,modern","organic forms,plant life,natural textures,earth tones","sunset orange,forest green,earth brown,sky blue",,,,,,
235,Dark Nautical,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Nautical aesthetic.",1910s,music,"grungy,urban","album covers,concert visuals,music videos,band imagery,sound equipment,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","grungy,authentic,raw",,,,,
236,Dark Nymphet,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Nymphet aesthetic.",1900s,literary,"retro,modern",,,,,,,,
237,Dark Paradise,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Paradise aesthetic.",1940s,subculture,"edgy,grungy,rural,nostalgic,vibrant",,,"wistful,sentimental,rebellious,energetic,nostalgic",,,,,
238,Dark Y2K,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dark Y2K aesthetic.",2000s,fashion,"natural,nostalgic,vibrant","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","earth brown,sunset orange,metallic silver,hot pink,electric blue,lime green","wistful,sentimental,energetic,nostalgic,vibrant",,,/aesthetic_images/y2k/y2k_1.jpg;/aesthetic_images/y2k/y2k_2.jpg;/aesthetic_images/y2k/y2k_3.jpg,,
239,Darkest Academia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Darkest Academia aesthetic.",1960s,visual_art,"atmospheric,grungy",,,"evocative,atmospheric,grungy,immersive,raw",,,,,
240,Dau al Set,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dau al Set aesthetic.",1980s,historical,"bright,natural,minimalist,atmospheric","organic forms,plant life,natural textures,earth tones,clean lines,simple forms,negative space,geometric shapes","neon pink,earth brown,hot pink,sunset orange,electric blue,bright red","serene,evocative,clean,minimalist,atmospheric",,,,,
241,Dazecore,"A core aesthetic centered around daze themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1970s,architecture,"rural,edgy,fantasy,atmospheric,retro","building designs,structural elements,interior spaces,architectural details",,"evocative,rebellious,atmospheric,immersive,bold","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/dazecore/dazecore_1.jpg; /aesthetic_images/dazecore/dazecore_2.jpg; /aesthetic_images/dazecore/dazecore_3.webp,,
242,De Stijl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the De Stijl aesthetic.",2000s,subculture,"pastel,edgy,grungy,bright","soft colors,gentle gradients,light tones","pastel pink,hot pink,electric blue,pastel blue,lavender,bright red","rebellious,grungy,bold,raw,authentic",,,,,
243,Dead Inside,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dead Inside aesthetic.",1980s,interior_design,"cute,vibrant,natural,urban","organic forms,plant life,natural textures,earth tones,city landscapes,street art,concrete structures,neon signs","neon pink,earth brown,sunset orange,asphalt black,concrete gray,electric blue","endearing,charming,cute,energetic,vibrant",,,,,
244,Death Metal,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Death Metal aesthetic.",1910s,historical,"pastel,nostalgic","soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","sentimental,nostalgic,wistful",,,,,
245,Deathrock,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Deathrock aesthetic.",2010s,literary,"cute,rural",,,"cute,endearing,charming",,,,,
246,Decopunk,"A punk-influenced aesthetic that combines deco elements with rebellious, alternative cultural themes and visual styles.",1940s,interior_design,"elegant,bright,vibrant","refined details,luxurious materials,sophisticated compositions","electric blue,hot pink,neon green,bright red","sophisticated,energetic,vibrant,lively,refined","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
247,Decora,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Decora aesthetic.",1990s,architecture,"retro,minimalist,pastel,dark,edgy","building designs,structural elements,interior spaces,architectural details,clean lines,simple forms,negative space,geometric shapes","charcoal,pastel pink,pastel blue,lavender,dark gray,black","brooding,serene,clean,intense,rebellious",,,/aesthetic_images/Decora/Decora_1.jpg; /aesthetic_images/Decora/Decora_2.jpg; /aesthetic_images/Decora/Decora_3.webp,,
248,Deep Fried Meme,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Deep Fried Meme aesthetic.",2010s,fashion,"fantasy,natural","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","sunset orange,forest green,earth brown,sky blue",,,,,,
249,Delicate Sweet,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Delicate Sweet aesthetic.",1910s,fashion,"urban,minimalist","clothing styles,accessories,textiles,patterns,silhouettes,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","clean,serene,minimalist",,,,,
250,Denpa,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Denpa aesthetic.",1950s,historical,"minimalist,urban,atmospheric,edgy,retro","clean lines,simple forms,negative space,geometric shapes,city landscapes,street art,concrete structures,neon signs","mint green,asphalt black,concrete gray,pink,turquoise,brick red","serene,evocative,clean,rebellious,minimalist",,,,,
251,Denpa (music genre),"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Denpa (music genre) aesthetic.",1980s,music,"nostalgic,retro,grungy,edgy","album covers,concert visuals,music videos,band imagery,sound equipment","electric blue,bright purple,neon pink,lime green","wistful,sentimental,rebellious,nostalgic,grungy",,,,,
252,Desertwave,"A wave aesthetic movement characterized by desert influences, featuring distinctive visual and musical elements.",1960s,film,"rural,digital,fantasy","cinematography,set designs,costume design,lighting,visual effects",,,"Dreamwave,Vaporwave,Retrowave,Synthwave",,,,
253,Desi Romantic Academia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Desi Romantic Academia aesthetic.",1970s,historical,"grungy,modern,digital",,,"grungy,authentic,raw",,,,,
254,Dethereal,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dethereal aesthetic.",pre-1900s,architecture,"fantasy,rural,bright,elegant,nostalgic","building designs,structural elements,interior spaces,architectural details,refined details,luxurious materials,sophisticated compositions","electric blue,hot pink,neon green,bright red","sophisticated,wistful,sentimental,nostalgic,refined",,,,,
255,Devilcore,"A core aesthetic centered around devil themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2000s,film,"bright,rural,modern,dark,fantasy","cinematography,set designs,costume design,lighting,visual effects,shadows,low lighting,dramatic contrasts","charcoal,hot pink,electric blue,bright red,dark gray,black","brooding,intense,mysterious","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/devilcore/devilcore_1.jpg; /aesthetic_images/devilcore/devilcore_2.jpg; /aesthetic_images/devilcore/devilcore_3.webp,,
256,Dieselpunk,"A punk-influenced aesthetic that combines diesel elements with rebellious, alternative cultural themes and visual styles.",1910s,music,"rural,nostalgic,bright,elegant","album covers,concert visuals,music videos,band imagery,sound equipment,refined details,luxurious materials,sophisticated compositions","electric blue,hot pink,neon green,bright red","sophisticated,wistful,sentimental,nostalgic,refined","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
257,Digital Horror,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Digital Horror aesthetic.",1940s,film,"elegant,futuristic,modern","cinematography,set designs,costume design,lighting,visual effects,refined details,luxurious materials,sophisticated compositions","electric blue,metallic silver,neon purple,white","sophisticated,progressive,innovative,futuristic,refined",,,,,
258,Diner,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Diner aesthetic.",1940s,fashion,"digital,bright,edgy","clothing styles,accessories,textiles,patterns,silhouettes","electric blue,hot pink,neon green,bright red","edgy,rebellious,bold",,,,,
259,Dionysism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dionysism aesthetic.",2010s,literary,"digital,modern,elegant","refined details,luxurious materials,sophisticated compositions",,"sophisticated,refined,elegant",,,,,
260,Disco Polo,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Disco Polo aesthetic.",1940s,music,"pastel,minimalist,natural,digital","album covers,concert visuals,music videos,band imagery,sound equipment,soft colors,gentle gradients,light tones","pastel pink,earth brown,sunset orange,pastel blue,lavender,forest green","clean,serene,minimalist",,,,,
261,Disco,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Disco aesthetic.",1960s,film,"rural,grungy,cute,urban","cinematography,set designs,costume design,lighting,visual effects,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","endearing,charming,cute,grungy,authentic",,,,,
262,Dizelaši,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dizelaši aesthetic.",1900s,interior_design,"retro,digital",,,,,,,,
263,Dokukawaii,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dokukawaii aesthetic.",pre-1900s,architecture,"digital,grungy,minimalist","building designs,structural elements,interior spaces,architectural details,clean lines,simple forms,negative space,geometric shapes",,"serene,clean,minimalist,grungy,authentic",,,/aesthetic_images/kawaii/kawaii_1.jpg;/aesthetic_images/kawaii/kawaii_2.jpg;/aesthetic_images/kawaii/kawaii_3.jpg,,
264,Dollar Store Vernacular,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dollar Store Vernacular aesthetic.",1950s,interior_design,"nostalgic,grungy,edgy,elegant,futuristic","refined details,luxurious materials,sophisticated compositions,sleek designs,metallic surfaces,LED lighting,geometric shapes","mint green,pink,electric blue,turquoise,neon purple,white","sophisticated,wistful,sentimental,rebellious,progressive",,,,,
265,Dollcore,"A core aesthetic centered around doll themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1900s,music,"cute,futuristic","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/dollcore/dollcore_1.png;/aesthetic_images/dollcore/dollcore_2.jpg;/aesthetic_images/dollcore/dollcore_3.jpg,,
266,Dollette,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dollette aesthetic.",1920s,film,"elegant,digital","cinematography,set designs,costume design,lighting,visual effects,refined details,luxurious materials,sophisticated compositions","pearl white,black,deep red,gold","sophisticated,refined,elegant",,,,,
267,Dolly Girl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dolly Girl aesthetic.",1950s,music,"atmospheric,nostalgic,digital,grungy,edgy","album covers,concert visuals,music videos,band imagery,sound equipment","turquoise,mint green,yellow,pink","evocative,wistful,sentimental,rebellious,atmospheric",,,,,
268,Dolly Kei,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dolly Kei aesthetic.",2010s,visual_art,"vintage,futuristic,atmospheric,natural","antique objects,retro designs,aged textures,sleek designs,metallic surfaces,LED lighting,geometric shapes,organic forms","sage green,metallic silver,earth brown,sunset orange,forest green,electric blue","evocative,progressive,atmospheric,innovative,immersive",,,,,
269,Doodlecore,"A core aesthetic centered around doodle themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1980s,film,"futuristic,digital","cinematography,set designs,costume design,lighting,visual effects,sleek designs,metallic surfaces,LED lighting","neon pink,electric blue,neon purple,white,lime green,bright purple","innovative,progressive,futuristic","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/doodlecore/doodlecore_1.jpg; /aesthetic_images/doodlecore/doodlecore_2.jpg; /aesthetic_images/doodlecore/doodlecore_3.webp,,
270,Doomer,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Doomer aesthetic.",1960s,interior_design,"grungy,atmospheric",,,"evocative,atmospheric,immersive,grungy,authentic",,,,,
271,Dopamine,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dopamine aesthetic.",1950s,subculture,"bright,retro,vintage,edgy","antique objects,retro designs,aged textures","sage green,mint green,hot pink,pink,electric blue,turquoise","edgy,rebellious,bold",,,,,
272,DORFic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the DORFic aesthetic.",1960s,fashion,"cute,futuristic,grungy","clothing styles,accessories,textiles,patterns,silhouettes,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative",,,,,
273,Downtown Girl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Downtown Girl aesthetic.",pre-1900s,architecture,"futuristic,vibrant","building designs,structural elements,interior spaces,architectural details,sleek designs,metallic surfaces,LED lighting,geometric shapes","electric blue,metallic silver,neon purple,white","progressive,energetic,innovative,futuristic,vibrant",,,,,
274,Dragoncore,"A core aesthetic centered around dragon themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2020s,literary,"atmospheric,edgy",,,"evocative,rebellious,atmospheric,immersive,bold","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/dragoncore/dragoncore_1.jpg; /aesthetic_images/dragoncore/dragoncore_2.jpg; /aesthetic_images/dragoncore/dragoncore_3.webp,,
275,Drain,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Drain aesthetic.",1970s,architecture,"elegant,digital,dark,cute,bright","building designs,structural elements,interior spaces,architectural details,refined details,luxurious materials,sophisticated compositions,shadows","charcoal,hot pink,electric blue,dark gray,bright red,black","sophisticated,brooding,intense,endearing,charming",,,,,
276,Dream Punk,"A punk-influenced aesthetic that combines dream elements with rebellious, alternative cultural themes and visual styles.",1970s,historical,"retro,minimalist,pastel,elegant","clean lines,simple forms,negative space,geometric shapes,soft colors,gentle gradients,light tones,refined details","lavender,pastel blue,pastel pink,pastel yellow","sophisticated,serene,clean,minimalist,refined","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
277,Dreamcore,"A core aesthetic centered around dream themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2020s,internet_culture,"nostalgic,futuristic","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","wistful,sentimental,progressive,innovative,nostalgic","Softcore,Cottagecore,Fairycore,Darkcore,Internetcore",,/aesthetic_images/dreamcore/dreamcore_1.jpg; /aesthetic_images/dreamcore/dreamcore_2.jpg; /aesthetic_images/dreamcore/dreamcore_3.webp,,
278,Dreamy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dreamy aesthetic.",1920s,literary,"atmospheric,edgy",,"pearl white,black,deep red,gold","evocative,rebellious,atmospheric,immersive,bold",,,,,
279,Dresiarz,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dresiarz aesthetic.",1980s,fashion,"natural,futuristic,rural,elegant","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","neon pink,earth brown,sunset orange,metallic silver,electric blue,neon purple","sophisticated,progressive,innovative,futuristic,refined",,,,,
280,Driftcore,"A core aesthetic centered around drift themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1950s,film,"futuristic,elegant,edgy,bright,atmospheric","cinematography,set designs,costume design,lighting,visual effects,sleek designs,metallic surfaces,LED lighting","mint green,hot pink,pink,electric blue,turquoise,neon purple","sophisticated,evocative,rebellious,progressive,atmospheric","Softcore,Cottagecore,Fairycore,Darkcore",,,,
281,Drugcore,"A core aesthetic centered around drug themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2010s,historical,"edgy,vintage,rural","antique objects,retro designs,aged textures","cream,dusty rose,sage green,sepia","edgy,rebellious,bold","Softcore,Cottagecore,Fairycore,Darkcore",,,,
282,Dual Kawaii,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dual Kawaii aesthetic.",2000s,literary,"cute,retro,minimalist,natural","clean lines,simple forms,negative space,geometric shapes,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,metallic silver,hot pink,electric blue,lime green","serene,clean,endearing,minimalist,charming",,,/aesthetic_images/kawaii/kawaii_1.jpg;/aesthetic_images/kawaii/kawaii_2.jpg;/aesthetic_images/kawaii/kawaii_3.jpg,,
283,Dullcore,"A core aesthetic centered around dull themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1930s,architecture,"edgy,digital,retro","building designs,structural elements,interior spaces,architectural details",,"edgy,rebellious,bold","Softcore,Cottagecore,Fairycore,Darkcore",,,,
284,Dungeon Synth,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dungeon Synth aesthetic.",1910s,visual_art,"nostalgic,edgy,digital,minimalist","clean lines,simple forms,negative space,geometric shapes",,"serene,wistful,sentimental,clean,rebellious",,,,,
285,Dungeoncore,"A core aesthetic centered around dungeon themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1940s,interior_design,"dark,minimalist","shadows,low lighting,dramatic contrasts,clean lines,simple forms,negative space,geometric shapes","charcoal,black,deep purple,dark gray","brooding,serene,clean,intense,minimalist","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/dungeoncore/dungeoncore_1.jpg;/aesthetic_images/dungeoncore/dungeoncore_2.jpg;/aesthetic_images/dungeoncore/dungeoncore_3.jpg,,
286,Dungeonpunk,"A punk-influenced aesthetic that combines dungeon elements with rebellious, alternative cultural themes and visual styles.",2000s,historical,"nostalgic,edgy,grungy,modern,pastel","soft colors,gentle gradients,light tones","pastel pink,hot pink,electric blue,pastel blue,lavender,lime green","wistful,sentimental,rebellious,nostalgic,grungy","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/punk/punk_1.jpg;/aesthetic_images/punk/punk_2.jpg;/aesthetic_images/punk/punk_3.jpg,,
287,Dutch Golden Age,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dutch Golden Age aesthetic.",1960s,interior_design,"natural,nostalgic,atmospheric","organic forms,plant life,natural textures,earth tones","sunset orange,forest green,earth brown,sky blue","wistful,evocative,sentimental,atmospheric,nostalgic",,,,,
288,E-Boy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the E-Boy aesthetic.",2020s,internet_culture,"pastel,urban,minimalist,edgy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,soft colors,gentle gradients,light tones","pastel pink,asphalt black,concrete gray,pastel blue,lavender,brick red","serene,clean,rebellious,minimalist,bold","Internetcore,Webcore,Cybercore,Glitchcore",,,,
289,E-Girl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the E-Girl aesthetic.",1970s,interior_design,"cute,pastel,edgy,nostalgic","soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","wistful,sentimental,rebellious,endearing,charming",,,,,
290,Earth Tones,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Earth Tones aesthetic.",1950s,visual_art,"bright,rural,atmospheric,minimalist,elegant","clean lines,simple forms,negative space,geometric shapes,refined details,luxurious materials,sophisticated compositions","mint green,hot pink,pink,electric blue,turquoise,bright red","sophisticated,serene,evocative,clean,minimalist",,,,,
291,Earthy Black Girl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Earthy Black Girl aesthetic.",2020s,visual_art,"natural,retro,minimalist,nostalgic,vibrant","organic forms,plant life,natural textures,earth tones,clean lines,simple forms,negative space,geometric shapes","sunset orange,forest green,earth brown,sky blue","serene,wistful,sentimental,clean,minimalist",,,,,
292,Eclectic Grandpa,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Eclectic Grandpa aesthetic.",1930s,architecture,"retro,vibrant","building designs,structural elements,interior spaces,architectural details",,"energetic,vibrant,lively",,,,,
293,Electro Swing,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Electro Swing aesthetic.",2020s,music,"futuristic,rural,cute","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative",,,,,
294,Electroclash,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Electroclash aesthetic.",1920s,visual_art,"nostalgic,edgy,dark","shadows,low lighting,dramatic contrasts","charcoal,dark gray,black,deep red,pearl white,deep purple","brooding,wistful,sentimental,rebellious,intense",,,,,
295,Electronic Body Music,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Electronic Body Music aesthetic.",1950s,internet_culture,"natural,edgy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,organic forms,plant life,natural textures","mint green,earth brown,sunset orange,pink,turquoise,yellow","edgy,rebellious,bold","Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images/Electronic Body Music/Electronic Body Music_1.jpg; /aesthetic_images/Electronic Body Music/Electronic Body Music_2.jpg; /aesthetic_images/Electronic Body Music/Electronic Body Music_3.webp,,
296,Electropop 08,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Electropop 08 aesthetic.",1950s,visual_art,"futuristic,edgy","sleek designs,metallic surfaces,LED lighting,geometric shapes","mint green,pink,electric blue,turquoise,neon purple,white","rebellious,progressive,innovative,futuristic,bold",,,,,
297,Elizabethan England,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Elizabethan England aesthetic.",pre-1900s,subculture,"grungy,urban","city landscapes,street art,concrete structures,neon signs","steel blue,asphalt black,concrete gray,brick red","grungy,authentic,raw",,,,,
298,Emo,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Emo aesthetic.",1930s,subculture,"digital,atmospheric,fantasy,vibrant",,,"evocative,atmospheric,energetic,immersive,vibrant",,,/aesthetic_images/Emo/Emo_1.jpg; /aesthetic_images/Emo/Emo_2.jpg; /aesthetic_images/Emo/Emo_3.webp,,
299,Emo Rap,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Emo Rap aesthetic.",1990s,architecture,"edgy,cute,fantasy,pastel","building designs,structural elements,interior spaces,architectural details,soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","rebellious,endearing,charming,cute,bold",,,/aesthetic_images/emo/emo_1.jpg;/aesthetic_images/emo/emo_2.jpg;/aesthetic_images/emo/emo_3.jpg,,
300,Equestrian,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Equestrian aesthetic.",1920s,historical,"grungy,edgy,digital,dark","shadows,low lighting,dramatic contrasts","charcoal,dark gray,black,deep red,pearl white,deep purple","brooding,rebellious,intense,grungy,authentic",,,,,
301,Ero-Guro,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ero-Guro aesthetic.",pre-1900s,music,"digital,modern,natural,vibrant","album covers,concert visuals,music videos,band imagery,sound equipment,organic forms,plant life,natural textures","sunset orange,forest green,earth brown,sky blue","energetic,vibrant,lively",,,,,
302,Erokawa,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Erokawa aesthetic.",2000s,film,"digital,modern,urban","cinematography,set designs,costume design,lighting,visual effects,city landscapes,street art,concrete structures","hot pink,asphalt black,concrete gray,electric blue,brick red,lime green",,,,,,
303,Eshay,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Eshay aesthetic.",1950s,internet_culture,"cute,atmospheric,vibrant,futuristic","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,sleek designs,metallic surfaces,LED lighting","mint green,pink,electric blue,turquoise,neon purple,white","evocative,progressive,endearing,charming,atmospheric","Internetcore,Webcore,Cybercore,Glitchcore",,,,
304,Españolada,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Españolada aesthetic.",1980s,literary,"futuristic,vibrant,elegant","sleek designs,metallic surfaces,LED lighting,geometric shapes,refined details,luxurious materials,sophisticated compositions","neon pink,electric blue,neon purple,white,lime green,bright purple","sophisticated,progressive,refined,energetic,innovative",,,,,
305,Ethereal,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ethereal aesthetic.",1940s,subculture,"natural,pastel","organic forms,plant life,natural textures,earth tones,soft colors,gentle gradients,light tones","pastel pink,sunset orange,earth brown,pastel blue,lavender,forest green",,,,,,
306,Ethnic Chic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ethnic Chic aesthetic.",1980s,fashion,"retro,atmospheric","clothing styles,accessories,textiles,patterns,silhouettes","electric blue,bright purple,neon pink,lime green","evocative,immersive,atmospheric",,,,,
307,Expressionism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Expressionism aesthetic.",1940s,visual_art,"futuristic,natural,urban,pastel","sleek designs,metallic surfaces,LED lighting,geometric shapes,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,asphalt black,concrete gray,forest green,electric blue","innovative,progressive,futuristic",,,/aesthetic_images/Expressionism/Expressionism_1.jpg; /aesthetic_images/Expressionism/Expressionism_2.jpg; /aesthetic_images/Expressionism/Expressionism_3.webp,,
308,Factory Pomo,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Factory Pomo aesthetic.",2020s,historical,"retro,digital,elegant","refined details,luxurious materials,sophisticated compositions",,"sophisticated,refined,elegant",,,,,
309,Fairy Academia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Fairy Academia aesthetic.",1990s,architecture,"retro,pastel,cute,grungy,dark","building designs,structural elements,interior spaces,architectural details,soft colors,gentle gradients,light tones,shadows","charcoal,pastel pink,pastel blue,lavender,dark gray,black","brooding,intense,endearing,charming,cute",,,,,
